duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,class,is_zero_day
2,udp,eco_i,SF,106,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1,0.017442329492485364,0.06177957768264574,0.02917996769432427,0.07769379937311197,0.9566760859392388,0.04332391406076119,0.009767814663391324,2,3,0.8301917144280557,0.16980828557194427,0.0063366744862235255,0.006109212286483915,0.013331219374959765,0.011971403755495571,0.01347493863629615,0.021927540170037927,probe,False
0,tcp,other,S0,21,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1188,2,0.13223290432202803,0.0716653521068959,0.053683455872835344,0.0015540114110575726,0.9806726520404662,0.019327347959533836,0.0028442193884019203,2,1,0.7048947906059126,0.29510520939408735,0.013283187282834593,0.003226695167658904,0.06549625507472798,0.005400629352505698,0.03450975379801783,0.0008368195547064568,dos,False
0,tcp,smtp,SF,110,54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,112,2,0.002301541090720206,0.014201869108584259,0.010088690813610758,0.06625233515272212,0.9322139600595135,0.06778603994048649,0.007534750877531567,3,1,0.9688452089811634,0.03115479101883656,0.0014862517464576195,0.014413732122562415,0.007715536465233968,0.007221014329814126,0.01193861644407951,0.00796784594183681,probe,False
0,udp,ftp,SF,86,51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,46,2,0.07347605536163299,0.05841306077150546,0.07723268962237828,0.0024836893202730944,0.9587030559684744,0.04129694403152562,0.012003373053743606,2,2,0.9318204314813106,0.06817956851868945,0.02100989678438767,0.024272922311142475,0.08063158634546122,0.010602082027532444,0.029969467996040673,0.020974710981125664,probe,False
0,udp,ssh,RSTO,307,304,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0.08531697186484766,0.09246249126175632,0.07363388228153465,0.0007141206657305163,0.8899592905846628,0.11004070941533717,0.022712402653871172,1,2,0.9333805632359408,0.06661943676405924,0.00035549202025643824,0.051700258270995704,0.03954660017674073,0.045602711253997646,0.006815102974771906,0.03807656015680624,normal,False
0,udp,http,SF,470,427,0,0,0,0,0,1,0,1,0,2,4,2,0,0,0,0,1,6,0.04271539861083091,0.05828041837054886,0.010742435541487448,0.014330492254910841,0.9956190814090154,0.0043809185909845505,0.021435286531604484,3,1,0.9925356239846803,0.007464376015319685,0.022091964820572525,0.03649683672385984,0.01235208814043209,0.033277760911877105,0.005700720088398211,0.027619970976594924,u2r,False
4,tcp,http,SF,317,294,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.022738449057550264,0.14781521596246502,0.11390064537287022,0.004472426462531041,0.9656994707127906,0.03430052928720939,0.019599097252122676,1,2,0.9820773327249658,0.01792266727503422,0.0510916751077566,0.006792553665460016,0.015260017526890239,0.006122374830540727,0.001738337796609152,0.003976009751887036,normal,False
1,tcp,http,SF,333,281,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0.036427168580162414,0.014744444451099988,0.06704781251793196,0.014110599789520641,0.9269111543928791,0.07308884560712092,0.03375147354365354,2,2,0.9955811440621302,0.004418855937869837,0.015257145522480508,0.01006516518025694,0.008201941722153104,0.030207739794491425,0.022178865971008307,0.03137653105582893,normal,False
1,tcp,other,S0,64,98,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,12,2,0.1603090594343889,0.10872162470597985,0.0219250874127808,0.0151942364794597,0.9194429139225063,0.08055708607749368,0.0030948600151889365,1,1,0.8941191828726217,0.10588081712737829,0.000513569473715824,0.013014365870156707,0.0039546965977180675,0.016437509113485495,0.0044970629110447,0.005190795782570481,r2l,False
0,tcp,http,S0,20,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1231,5,0.17620727376112144,0.0003093263292504376,0.03303681828910099,0.07061246164905387,0.9585981493821949,0.0414018506178051,0.00697094647346379,3,2,0.909095538540759,0.09090446145924103,0.001165424565920108,0.0021855936245493927,0.05085287392510142,0.03024673980269158,0.014398298958067032,0.013873131352701499,dos,False
